Period,FDCP,Gross Salary
2016-06-30,19904|0|1|407,0.0
2016-06-30,19904|0|1|408,1054.37
2016-06-30,19904|0|1|409,896.26
2016-06-30,19904|0|1|411,1275.1
2016-06-30,19904|0|1|412,0.0
2016-06-30,19904|0|1|413,0.0
2016-06-30,19904|0|1|414,778.68
2016-06-30,19904|0|1|415,0.0
2016-06-30,19904|0|1|421,1510.7
2016-06-30,19904|0|1|422,0.0
2016-06-30,19904|0|1|423,1572.18
2016-06-30,19904|0|1|424,1677.8999999999999
2016-06-30,19904|0|1|426,774.82
2016-06-30,19904|0|1|428,0.0
2016-06-30,19904|0|1|429,1697.06
2016-06-30,19904|0|1|431,1472.17
2016-06-30,19904|0|1|433,852.54
2016-06-30,19904|0|1|434,1860.71
2016-06-30,19904|0|1|435,896.26
2016-06-30,19904|0|1|436,1284.5900000000001
2016-06-30,19904|0|1|437,591.93
2016-06-30,19904|0|1|439,786.96
2016-06-30,19904|0|1|441,1568.58
2016-06-30,19904|0|1|442,809.39
2016-06-30,19904|0|1|446,0.0
2016-06-30,19904|0|1|450,1145.24
2016-06-30,19904|0|1|452,560.21
2016-06-30,19904|0|1|464,1856.83
2016-06-30,19904|0|1|465,1036.58
2016-06-30,19904|0|1|467,1302.54
2016-06-30,19904|0|1|468,821.88
2016-06-30,19904|0|1|472,623.01
2016-06-30,19904|0|1|475,903.25
2016-06-30,19904|0|1|477,460.64
2016-06-30,19904|0|1|483,978.29
2016-06-30,19904|0|1|489,0.0
2016-06-30,19904|0|1|495,0.0
2016-06-30,19904|0|1|497,1085.89
2016-06-30,19904|0|1|499,0.0
2016-06-30,19904|0|1|500,1198.89
2016-06-30,19904|0|1|501,1356.6100000000001
2016-06-30,19904|0|1|502,594.1
2016-06-30,19904|0|1|503,0.0
2016-06-30,19904|0|1|504,2257.25
2016-06-30,19904|0|1|506,822.09
2016-06-30,19904|0|1|507,1484.1
2016-06-30,19904|0|1|508,0.0
2016-06-30,19904|0|1|509,1658.92
2016-06-30,19904|0|1|51,1404.33
2016-06-30,19904|0|1|512,2263.8
2016-06-30,19904|0|1|513,1642.73
2016-06-30,19904|0|1|516,1399.41
2016-06-30,19904|0|1|519,1017.24
2016-06-30,19904|0|1|520,0.0
2016-06-30,19904|0|1|522,0.0
2016-06-30,19904|0|1|523,890.0
2016-06-30,19904|0|1|524,1484.17
2016-06-30,19904|0|1|525,834.59
2016-06-30,19904|0|1|526,0.0
2016-06-30,19904|0|1|527,1265.84
2016-06-30,19904|0|1|529,0.0
2016-06-30,19904|0|1|530,702.38
2016-06-30,19904|0|1|531,0.0
2016-06-30,19904|0|1|534,1056.85
2016-06-30,19904|0|1|535,920.9499999999999
2016-06-30,19904|0|1|537,0.0
2016-06-30,19904|0|1|538,830.28
2016-06-30,19904|0|1|539,0.0
2016-06-30,19904|0|1|540,1919.12
2016-06-30,19904|0|1|541,667.19
2016-06-30,19904|0|1|542,0.0
2016-06-30,19904|0|1|543,1695.62
2016-06-30,19904|0|1|544,0.0
2016-06-30,19904|0|1|546,751.59
2016-06-30,19904|0|1|547,0.0
2016-06-30,19904|0|1|549,787.15
2016-06-30,19904|0|1|550,0.0
2016-06-30,19904|0|1|551,926.37
2016-06-30,19904|0|1|553,616.66
2016-06-30,19904|0|1|554,957.83
2016-06-30,19904|0|1|556,910.02
2016-06-30,19904|0|1|557,932.47
2016-06-30,19904|0|1|558,743.24
2016-06-30,19904|0|1|560,513.71
2016-06-30,19904|0|1|564,666.73
2016-06-30,19904|0|1|565,0.0
2016-06-30,19904|0|1|566,0.0
2016-06-30,19904|0|1|571,1655.36
2016-06-30,19904|0|1|574,0.0
2016-06-30,19904|0|1|575,1031.67
2016-06-30,19904|0|1|576,1846.0
2016-06-30,19904|0|1|577,995.44
2016-06-30,19904|0|1|580,491.85
2016-06-30,19904|0|1|581,1261.51
2016-06-30,19904|0|1|582,1322.53
2016-06-30,19904|0|1|583,0.0
2016-06-30,19904|0|1|584,907.19
2016-06-30,19904|0|1|586,0.0
2016-06-30,19904|0|1|587,1298.4
2016-06-30,19904|0|1|588,950.91
2016-06-30,19904|0|1|589,1315.22
2016-06-30,19904|0|1|590,0.0
2016-06-30,19904|0|1|592,990.07
2016-06-30,19904|0|1|595,0.0
2016-06-30,19904|0|1|598,1536.5
2016-06-30,19904|0|1|599,470.56
2016-06-30,19904|0|1|6,1502.11
2016-06-30,19904|0|1|600,0.0
2016-06-30,19904|0|1|601,1158.58
2016-06-30,19904|0|1|602,1311.6
2016-06-30,19904|0|1|603,929.62
2016-06-30,19904|0|1|604,1497.56
2016-06-30,19904|0|1|605,1267.21
2016-06-30,19904|0|1|608,999.76
2016-06-30,19904|0|1|609,887.61
2016-06-30,19904|0|1|611,0.0
2016-06-30,19904|0|1|612,0.0
2016-06-30,19904|0|1|613,1426.27
2016-06-30,19904|0|1|615,0.0
2016-06-30,19904|0|1|616,1201.02
2016-06-30,19904|0|1|617,830.68
2016-06-30,19904|0|1|619,0.0
2016-06-30,19904|0|1|620,0.0
2016-06-30,19904|0|1|621,0.0
2016-06-30,19904|0|1|622,43.72
2016-06-30,19904|0|1|623,1388.11
2016-06-30,19904|0|1|626,950.91
2016-06-30,19904|0|1|627,950.91
2016-06-30,19904|0|1|628,0.0
2016-06-30,19904|0|1|630,1581.94
2016-06-30,19904|0|1|631,1311.6
2016-06-30,19904|0|1|632,1185.02
2016-06-30,19904|0|1|633,1060.21
2016-06-30,19904|0|1|634,1169.51
2016-06-30,19904|0|1|636,1573.68
2016-06-30,19904|0|1|637,797.89
2016-06-30,19904|0|1|639,677.66
2016-06-30,19904|0|1|640,1311.6
2016-06-30,19904|0|1|642,0.0
2016-06-30,19904|0|1|643,1564.43
2016-06-30,19904|0|1|644,1062.49
2016-06-30,19904|0|1|645,1746.26
2016-06-30,19904|0|1|646,952.34
2016-06-30,19904|0|1|648,1638.81
2016-06-30,19904|0|1|649,0.0
2016-06-30,19904|0|1|650,1169.51
2016-06-30,19904|0|1|651,1508.34
2016-06-30,19904|0|1|654,0.0
2016-06-30,19904|0|1|656,1078.07
2016-06-30,19904|0|1|658,822.32
2016-06-30,19904|0|1|659,1254.01
2016-06-30,19904|0|1|661,1260.31
2016-06-30,19904|0|1|662,1679.86
2016-06-30,19904|0|1|663,0.0
2016-06-30,19904|0|1|664,790.76
2016-06-30,19904|0|1|666,612.08
2016-06-30,19904|0|1|668,1764.76
2016-06-30,19904|0|1|670,1472.03
2016-06-30,19904|0|1|671,0.0
2016-06-30,19904|0|1|672,0.0
2016-06-30,19904|0|1|673,0.0
2016-06-30,19904|0|1|674,0.0
2016-06-30,19904|0|1|675,873.97
2016-06-30,19904|0|1|676,1020.14
2016-06-30,19904|0|1|677,1555.05
2016-06-30,19904|0|1|678,1501.85
2016-06-30,19904|0|1|680,1610.68
2016-06-30,19904|0|1|681,0.0
2016-06-30,19904|0|1|683,902.07
2016-06-30,19904|0|1|684,1344.39
2016-06-30,19904|0|1|685,852.54
2016-06-30,19904|0|1|687,1280.87
2016-06-30,19904|0|1|689,1644.91
2016-06-30,19904|0|1|690,816.69
2016-06-30,19904|0|1|691,0.0
2016-06-30,19904|0|1|693,1552.23
2016-06-30,19904|0|1|694,635.8
2016-06-30,19904|0|1|696,1101.55
2016-06-30,19904|0|1|697,644.87
2016-06-30,19904|0|1|698,666.73
2016-06-30,19904|0|1|699,1419.51
2016-06-30,19904|0|1|700,0.0
2016-06-30,19904|0|1|702,881.47
2016-06-30,19904|0|1|704,541.0
2016-06-30,19904|0|1|705,0.0
2016-06-30,19904|0|1|706,1002.27
2016-06-30,19904|0|1|707,836.38
2016-06-30,19904|0|1|708,0.0
2016-06-30,19904|0|1|709,0.0
2016-06-30,19904|0|1|711,743.24
2016-06-30,19904|0|1|712,0.0
2016-06-30,19904|0|1|713,0.0
2016-06-30,19904|0|1|714,0.0
2016-06-30,19904|0|1|716,480.92
2016-06-30,19904|0|1|717,0.0
2016-06-30,19904|0|1|718,656.94
2016-06-30,19904|0|1|720,1071.18
2016-06-30,19904|0|1|721,924.23
2016-06-30,19904|0|1|722,1099.01
2016-06-30,19904|0|1|723,939.98
2016-06-30,19904|0|1|724,874.4
2016-06-30,19904|0|1|725,1175.5
2016-06-30,19904|0|1|740,1595.27
2016-06-30,19904|0|1|741,815.65
2016-06-30,19904|0|1|743,411.16
2016-06-30,19904|0|1|745,1423.79
2016-06-30,19904|0|1|749,735.76
2016-06-30,19904|0|1|757,1358.74
2016-06-30,19904|0|1|758,1005.56
2016-06-30,19904|0|1|762,876.42
2016-06-30,19904|0|1|769,881.51
2016-06-30,19904|0|1|770,1037.82
2016-06-30,19904|0|1|771,1611.64
2016-06-30,19904|0|1|80,1101.31
2016-06-30,19904|0|1|84,0.0
2016-06-30,19904|0|1|87,2012.5
2016-06-30,19904|0|1|88,856.8
2016-06-30,19904|0|1|89,1461.96
2016-06-30,19904|0|1|90,0.0
2016-06-30,19904|0|1|92,0.0
2016-06-30,19904|0|1|94,835.17
2016-06-30,19904|0|1|95,980.11
2016-06-30,19904|0|1|96,1015.92
2016-06-30,19904|0|3|10600,2111.0699999999997
2016-06-30,19904|0|3|10601,2005.4
2016-06-30,19904|0|3|10616,2041.8
2016-06-30,19904|0|3|10718,1414.7
2016-06-30,19904|0|3|10729,1747.65
2016-06-30,19904|0|3|10730,1357.92
2016-06-30,19904|0|3|10731,1357.92
2016-06-30,19904|0|3|10735,1039.14
2016-06-30,19904|0|3|184,2595.3
2016-06-30,19904|0|3|250,2127.4700000000003
2016-06-30,19904|0|3|251,1864.73
2016-06-30,19904|0|3|252,1809.96
2016-06-30,19904|0|3|253,1865.6899999999998
2016-06-30,19904|0|3|496,2127.4700000000003
2016-06-30,19904|0|3|567,2127.4700000000003
2016-06-30,19904|0|3|579,1768.65
2016-06-30,19904|0|3|726,1748.3
2016-06-30,19904|0|3|728,2546.36
2016-06-30,19904|21|3|660,0.0
2016-06-30,19904|21|3|9000,0.0
2016-06-30,2048|0|3|1019,2951.71
2016-06-30,2048|0|3|1022,0.0
2016-06-30,2048|0|3|1037,2507.36
2016-06-30,2048|0|3|1040,12.5
2016-06-30,2048|0|3|1048,3944.64
2016-06-30,2048|0|3|1054,3856.44
2016-06-30,2048|0|3|1066,2650.58
2016-06-30,2048|0|3|1067,3347.85
2016-06-30,2048|0|3|1069,5588.86
2016-06-30,2048|0|3|1073,3347.85
2016-06-30,2048|0|3|14,2722.75
2016-06-30,2048|0|3|15,0.0
2016-06-30,2048|0|3|2,2289.26
2016-06-30,2048|0|3|24,3856.44
2016-06-30,2048|0|3|4,4399.54
2016-06-30,2048|0|3|7,4077.26
2016-06-30,2048|21|3|90000,0.0
2016-06-30,2048|21|3|90001,0.0
2016-06-30,2048|21|3|90002,0.0
2016-06-30,26350|21|3|1,0.0
2016-06-30,26478|0|1|11,2075.91
2016-06-30,26478|0|1|12,3379.09
2016-06-30,26478|0|1|13,2590.65
2016-06-30,26478|0|1|16,3379.09
2016-06-30,26478|0|1|17,3379.09
2016-06-30,26478|0|1|2,3379.09
2016-06-30,26478|0|1|20,2581.61
2016-06-30,26478|0|1|22,0.0
2016-06-30,26478|0|1|25,2712.86
2016-06-30,26478|0|1|28,2313.67
2016-06-30,26478|0|1|29,2173.36
2016-06-30,26478|0|1|3,2295.22
2016-06-30,26478|0|1|31,4675.32
2016-06-30,26478|0|1|33,3273.19
2016-06-30,26478|0|1|36,0.0
2016-06-30,26478|0|1|37,2344.04
2016-06-30,26478|0|1|49,2853.22
2016-06-30,26478|0|1|5,1992.43
2016-06-30,26478|0|1|50,1890.33
2016-06-30,26478|0|1|51,2642.75
2016-06-30,26478|0|1|52,3038.49
2016-06-30,26478|0|1|53,2152.14
2016-06-30,26478|0|1|7,2318.23
2016-06-30,26478|0|1|8,0.0
2016-06-30,26478|0|1|9,1152.4
2016-06-30,26478|0|3|1,3908.37
2016-06-30,26478|0|3|18,3004.03
2016-06-30,26478|0|3|21,4016.13
2016-06-30,26478|0|3|30,3450.0
2016-06-30,26478|0|3|35,2847.53
2016-06-30,32428|0|1|1053,3238.27
2016-06-30,32428|0|1|1054,2468.41
2016-06-30,32428|0|1|1095,0.0
2016-06-30,32428|0|1|11,2503.18
2016-06-30,32428|0|1|1101,2520.41
2016-06-30,32428|0|1|1102,3751.09
2016-06-30,32428|0|1|1123,2635.17
2016-06-30,32428|0|1|1147,2953.3
2016-06-30,32428|0|1|12,3918.0
2016-06-30,32428|0|1|1276,2678.82
2016-06-30,32428|0|1|13,2503.17
2016-06-30,32428|0|1|1307,3207.64
2016-06-30,32428|0|1|1321,3293.64
2016-06-30,32428|0|1|1322,2187.32
2016-06-30,32428|0|1|1323,1973.17
2016-06-30,32428|0|1|1332,3216.7
2016-06-30,32428|0|1|1337,2525.13
2016-06-30,32428|0|1|1338,2708.11
2016-06-30,32428|0|1|1339,2440.95
2016-06-30,32428|0|1|1344,2692.05
2016-06-30,32428|0|1|1345,2692.05
2016-06-30,32428|0|1|1348,2379.23
2016-06-30,32428|0|1|1349,0.0
2016-06-30,32428|0|1|1350,3636.17
2016-06-30,32428|0|1|1351,3052.75
2016-06-30,32428|0|1|1354,1295.76
2016-06-30,32428|0|1|1386,2515.97
2016-06-30,32428|0|1|14,2503.17
2016-06-30,32428|0|1|1436,2503.16
2016-06-30,32428|0|1|1437,2503.17
2016-06-30,32428|0|1|1442,0.0
2016-06-30,32428|0|1|1481,2544.02
2016-06-30,32428|0|1|1483,2572.7
2016-06-30,32428|0|1|1489,2437.3
2016-06-30,32428|0|1|1520,2627.6
2016-06-30,32428|0|1|1521,2429.98
2016-06-30,32428|0|1|1560,2393.23
2016-06-30,32428|0|1|1587,2223.18
2016-06-30,32428|0|1|1588,2544.01
2016-06-30,32428|0|1|1595,2642.23
2016-06-30,32428|0|1|1596,3275.2
2016-06-30,32428|0|1|16,2610.9800000000005
2016-06-30,32428|0|1|1607,2400.23
2016-06-30,32428|0|1|1633,0.0
2016-06-30,32428|0|1|1635,2203.1
2016-06-30,32428|0|1|1637,2379.23
2016-06-30,32428|0|1|1638,3051.2
2016-06-30,32428|0|1|1640,2343.35
2016-06-30,32428|0|1|1642,2213.28
2016-06-30,32428|0|1|1651,3356.88
2016-06-30,32428|0|1|1652,0.0
2016-06-30,32428|0|1|1653,2539.17
2016-06-30,32428|0|1|1654,2471.28
2016-06-30,32428|0|1|1655,2321.91
2016-06-30,32428|0|1|1668,2485.37
2016-06-30,32428|0|1|1669,2694.83
2016-06-30,32428|0|1|1671,2287.79
2016-06-30,32428|0|1|1676,2726.42
2016-06-30,32428|0|1|1698,0.0
2016-06-30,32428|0|1|1699,3350.98
2016-06-30,32428|0|1|1700,2376.23
2016-06-30,32428|0|1|1702,2782.05
2016-06-30,32428|0|1|1703,3580.96
2016-06-30,32428|0|1|1704,2771.11
2016-06-30,32428|0|1|1715,2331.16
2016-06-30,32428|0|1|1727,2343.35
2016-06-30,32428|0|1|1728,2321.91
2016-06-30,32428|0|1|1734,2988.83
2016-06-30,32428|0|1|1735,2348.67
2016-06-30,32428|0|1|174,2544.02
2016-06-30,32428|0|1|1740,2608.84
2016-06-30,32428|0|1|1750,2172.92
2016-06-30,32428|0|1|1751,2395.67
2016-06-30,32428|0|1|1752,2493.15
2016-06-30,32428|0|1|1753,2696.62
2016-06-30,32428|0|1|1754,2254.73
2016-06-30,32428|0|1|1755,2331.66
2016-06-30,32428|0|1|1756,2308.33
2016-06-30,32428|0|1|1768,2556.77
2016-06-30,32428|0|1|178,2503.17
2016-06-30,32428|0|1|1782,2637.39
2016-06-30,32428|0|1|1783,3049.19
2016-06-30,32428|0|1|1788,1763.15
2016-06-30,32428|0|1|1789,2348.65
2016-06-30,32428|0|1|1791,2056.62
2016-06-30,32428|0|1|1793,2321.91
2016-06-30,32428|0|1|1794,2369.42
2016-06-30,32428|0|1|1795,2456.68
2016-06-30,32428|0|1|1796,2453.1
2016-06-30,32428|0|1|1797,2453.09
2016-06-30,32428|0|1|1798,2545.73
2016-06-30,32428|0|1|1799,2275.46
2016-06-30,32428|0|1|18,1249.69
2016-06-30,32428|0|1|1800,2265.17
2016-06-30,32428|0|1|1801,2194.2200000000003
2016-06-30,32428|0|1|1802,2833.27
2016-06-30,32428|0|1|1803,2422.38
2016-06-30,32428|0|1|1804,2654.89
2016-06-30,32428|0|1|1805,2404.36
2016-06-30,32428|0|1|1806,2718.42
2016-06-30,32428|0|1|1812,2549.65
2016-06-30,32428|0|1|1813,2595.26
2016-06-30,32428|0|1|1814,2699.16
2016-06-30,32428|0|1|1815,1693.59
2016-06-30,32428|0|1|1816,2748.9599999999996
2016-06-30,32428|0|1|1817,2586.24
2016-06-30,32428|0|1|1818,2371.75
2016-06-30,32428|0|1|1819,2847.11
2016-06-30,32428|0|1|1820,2707.1
2016-06-30,32428|0|1|1821,3248.57
2016-06-30,32428|0|1|1822,2206.72
2016-06-30,32428|0|1|1823,2347.3199999999997
2016-06-30,32428|0|1|1824,2503.17
2016-06-30,32428|0|1|20,3823.27
2016-06-30,32428|0|1|229,2609.3
2016-06-30,32428|0|1|236,3092.36
2016-06-30,32428|0|1|237,2519.63
2016-06-30,32428|0|1|26,2580.17
2016-06-30,32428|0|1|273,2510.48
2016-06-30,32428|0|1|274,2503.17
2016-06-30,32428|0|1|276,2491.95
2016-06-30,32428|0|1|277,2544.02
2016-06-30,32428|0|1|278,2778.55
2016-06-30,32428|0|1|28,1189.62
2016-06-30,32428|0|1|282,2778.54
2016-06-30,32428|0|1|284,2658.0
2016-06-30,32428|0|1|29,2515.63
2016-06-30,32428|0|1|290,2640.72
2016-06-30,32428|0|1|292,2503.17
2016-06-30,32428|0|1|294,2400.71
2016-06-30,32428|0|1|3,1376.01
2016-06-30,32428|0|1|301,2794.79
2016-06-30,32428|0|1|302,2397.47
2016-06-30,32428|0|1|304,2528.79
2016-06-30,32428|0|1|305,2984.76
2016-06-30,32428|0|1|306,2503.17
2016-06-30,32428|0|1|308,2544.02
2016-06-30,32428|0|1|318,2378.74
2016-06-30,32428|0|1|319,2492.19
2016-06-30,32428|0|1|322,0.0
2016-06-30,32428|0|1|35,2498.37
2016-06-30,32428|0|1|36,2112.34
2016-06-30,32428|0|1|365,3355.84
2016-06-30,32428|0|1|368,0.0
2016-06-30,32428|0|1|37,2488.53
2016-06-30,32428|0|1|378,2729.32
2016-06-30,32428|0|1|382,2742.46
2016-06-30,32428|0|1|383,2503.16
2016-06-30,32428|0|1|384,2517.82
2016-06-30,32428|0|1|39,1288.18
2016-06-30,32428|0|1|401,3644.94
2016-06-30,32428|0|1|405,249.59
2016-06-30,32428|0|1|41,3038.52
2016-06-30,32428|0|1|430,2729.32
2016-06-30,32428|0|1|433,2737.38
2016-06-30,32428|0|1|442,2503.16
2016-06-30,32428|0|1|446,1599.31
2016-06-30,32428|0|1|449,2152.96
2016-06-30,32428|0|1|452,1249.7
2016-06-30,32428|0|1|457,0.0
2016-06-30,32428|0|1|489,2512.32
2016-06-30,32428|0|1|509,2587.74
2016-06-30,32428|0|1|511,2283.66
2016-06-30,32428|0|1|545,3497.84
2016-06-30,32428|0|1|546,0.0
2016-06-30,32428|0|1|547,2612.96
2016-06-30,32428|0|1|594,2386.06
2016-06-30,32428|0|1|629,2510.48
2016-06-30,32428|0|1|630,2503.17
2016-06-30,32428|0|1|671,2396.73
2016-06-30,32428|0|1|672,2503.17
2016-06-30,32428|0|1|698,3067.32
2016-06-30,32428|0|1|704,3011.85
2016-06-30,32428|0|1|705,2739.2
2016-06-30,32428|0|1|750,2782.05
2016-06-30,32428|0|1|766,2503.17
2016-06-30,32428|0|1|767,2503.17
2016-06-30,32428|0|1|768,0.0
2016-06-30,32428|0|1|769,0.0
2016-06-30,32428|0|1|771,2488.54
2016-06-30,32428|0|1|772,1888.35
2016-06-30,32428|0|1|864,3651.11
2016-06-30,32428|0|1|865,3751.09
2016-06-30,32428|0|1|866,0.0
2016-06-30,32428|0|1|867,2503.16
2016-06-30,32428|0|1|868,2503.17
2016-06-30,32428|0|1|87,2503.17
2016-06-30,32428|0|1|946,2510.48
2016-06-30,32428|0|1|947,2239.03
2016-06-30,32428|0|3|1031,3100.0
2016-06-30,32428|0|3|1032,3480.19
2016-06-30,32428|0|3|1038,2362.64
2016-06-30,32428|0|3|1047,5.0
2016-06-30,32428|0|3|1062,3805.0
2016-06-30,32428|0|3|1064,0.0
2016-06-30,32428|0|3|1066,3338.79
2016-06-30,32428|0|3|1067,3550.68
2016-06-30,32428|0|3|107,3534.15
2016-06-30,32428|0|3|1100,2368.72
2016-06-30,32428|0|3|1106,3517.5
2016-06-30,32428|0|3|1110,2524.75
2016-06-30,32428|0|3|1117,2917.5
2016-06-30,32428|0|3|1142,2172.5
2016-06-30,32428|0|3|1152,3215.0
2016-06-30,32428|0|3|1161,1915.93
2016-06-30,32428|0|3|1171,3798.48
2016-06-30,32428|0|3|1179,2737.63
2016-06-30,32428|0|3|1180,3542.21
2016-06-30,32428|0|3|1203,3282.88
2016-06-30,32428|0|3|1206,0.0
2016-06-30,32428|0|3|1221,2550.0
2016-06-30,32428|0|3|1258,2319.37
2016-06-30,32428|0|3|1262,2550.0
2016-06-30,32428|0|3|1265,2650.0
2016-06-30,32428|0|3|1286,2850.0
2016-06-30,32428|0|3|1304,2300.0
2016-06-30,32428|0|3|131,3857.26
2016-06-30,32428|0|3|1315,2765.0
2016-06-30,32428|0|3|1318,3020.7
2016-06-30,32428|0|3|1343,4317.5
2016-06-30,32428|0|3|1353,3226.08
2016-06-30,32428|0|3|1360,4777.67
2016-06-30,32428|0|3|137,3385.46
2016-06-30,32428|0|3|1370,7586.58
2016-06-30,32428|0|3|1375,2705.0
2016-06-30,32428|0|3|1400,2633.75
2016-06-30,32428|0|3|1403,2662.5
2016-06-30,32428|0|3|1407,2505.0
2016-06-30,32428|0|3|142,3804.41
2016-06-30,32428|0|3|1423,2700.0
2016-06-30,32428|0|3|1425,2894.56
2016-06-30,32428|0|3|1426,2117.5
2016-06-30,32428|0|3|1429,3545.24
2016-06-30,32428|0|3|144,4236.37
2016-06-30,32428|0|3|1446,3155.0
2016-06-30,32428|0|3|1456,2787.25
2016-06-30,32428|0|3|1457,4040.1
2016-06-30,32428|0|3|1462,2925.51
2016-06-30,32428|0|3|1504,4040.1
2016-06-30,32428|0|3|1516,2827.5
2016-06-30,32428|0|3|1530,2605.0
2016-06-30,32428|0|3|1543,3759.92
2016-06-30,32428|0|3|1544,1943.76
2016-06-30,32428|0|3|1545,3383.39
2016-06-30,32428|0|3|1546,1886.36
2016-06-30,32428|0|3|1547,2629.14
2016-06-30,32428|0|3|1551,3305.0
2016-06-30,32428|0|3|1552,3732.5
2016-06-30,32428|0|3|1554,2839.54
2016-06-30,32428|0|3|1559,2650.0
2016-06-30,32428|0|3|1561,2018.8
2016-06-30,32428|0|3|1567,12.5
2016-06-30,32428|0|3|1584,2938.01
2016-06-30,32428|0|3|1600,2400.0
2016-06-30,32428|0|3|1608,3221.08
2016-06-30,32428|0|3|1614,2200.0
2016-06-30,32428|0|3|1630,2400.0
2016-06-30,32428|0|3|1631,3939.91
2016-06-30,32428|0|3|1643,3439.51
2016-06-30,32428|0|3|1647,4741.43
2016-06-30,32428|0|3|1661,2615.0
2016-06-30,32428|0|3|1662,5032.5
2016-06-30,32428|0|3|1663,2515.0
2016-06-30,32428|0|3|1664,1915.0
2016-06-30,32428|0|3|1673,6782.5
2016-06-30,32428|0|3|1675,2500.0
2016-06-30,32428|0|3|1683,3315.0
2016-06-30,32428|0|3|1685,2350.0
2016-06-30,32428|0|3|1690,3232.5
2016-06-30,32428|0|3|1705,3020.0
2016-06-30,32428|0|3|1708,4520.0
2016-06-30,32428|0|3|1709,3605.42
2016-06-30,32428|0|3|1710,2520.0
2016-06-30,32428|0|3|1711,5032.5
2016-06-30,32428|0|3|1713,3312.5
2016-06-30,32428|0|3|1714,3244.5
2016-06-30,32428|0|3|1724,6832.5
2016-06-30,32428|0|3|1725,3620.0
2016-06-30,32428|0|3|1743,2650.0
2016-06-30,32428|0|3|1746,3818.95
2016-06-30,32428|0|3|1747,5017.5
2016-06-30,32428|0|3|176,5579.56
2016-06-30,32428|0|3|1772,3817.5
2016-06-30,32428|0|3|1775,4027.05
2016-06-30,32428|0|3|1776,3320.5
2016-06-30,32428|0|3|1777,3792.0
2016-06-30,32428|0|3|1785,3305.0
2016-06-30,32428|0|3|1787,2000.0
2016-06-30,32428|0|3|1790,3755.0
2016-06-30,32428|0|3|1792,3905.0
2016-06-30,32428|0|3|182,4172.16
2016-06-30,32428|0|3|1825,2800.0
2016-06-30,32428|0|3|187,3567.59
2016-06-30,32428|0|3|225,3439.51
2016-06-30,32428|0|3|227,3605.0
2016-06-30,32428|0|3|228,3116.67
2016-06-30,32428|0|3|285,5397.35
2016-06-30,32428|0|3|287,2913.66
2016-06-30,32428|0|3|335,3620.6
2016-06-30,32428|0|3|362,4072.7
2016-06-30,32428|0|3|363,4719.73
2016-06-30,32428|0|3|373,3371.29
2016-06-30,32428|0|3|380,4855.0
2016-06-30,32428|0|3|394,3596.78
2016-06-30,32428|0|3|407,3521.75
2016-06-30,32428|0|3|408,3452.3
2016-06-30,32428|0|3|412,3385.23
2016-06-30,32428|0|3|42,3934.62
2016-06-30,32428|0|3|438,2425.0
2016-06-30,32428|0|3|44,4267.07
2016-06-30,32428|0|3|45,5297.48
2016-06-30,32428|0|3|450,2750.0
2016-06-30,32428|0|3|463,3817.5
2016-06-30,32428|0|3|472,5242.6
2016-06-30,32428|0|3|479,5235.77
2016-06-30,32428|0|3|499,4367.5
2016-06-30,32428|0|3|525,3400.0
2016-06-30,32428|0|3|526,3439.51
2016-06-30,32428|0|3|529,3247.69
2016-06-30,32428|0|3|54,2569.84
2016-06-30,32428|0|3|55,4656.86
2016-06-30,32428|0|3|550,4455.04
2016-06-30,32428|0|3|558,3804.5
2016-06-30,32428|0|3|56,3793.86
2016-06-30,32428|0|3|58,3624.63
2016-06-30,32428|0|3|598,2416.56
2016-06-30,32428|0|3|599,3037.78
2016-06-30,32428|0|3|60,4935.43
2016-06-30,32428|0|3|621,4732.5
2016-06-30,32428|0|3|65,4230.76
2016-06-30,32428|0|3|668,2750.0
2016-06-30,32428|0|3|69,2290.65
2016-06-30,32428|0|3|699,2817.5
2016-06-30,32428|0|3|709,3705.0
2016-06-30,32428|0|3|71,3960.62
2016-06-30,32428|0|3|720,3450.0
2016-06-30,32428|0|3|73,1578.12
2016-06-30,32428|0|3|76,3218.08
2016-06-30,32428|0|3|763,8900.44
2016-06-30,32428|0|3|77,5337.57
2016-06-30,32428|0|3|776,3321.27
2016-06-30,32428|0|3|779,2750.0
2016-06-30,32428|0|3|79,3267.04
2016-06-30,32428|0|3|81,5443.23
2016-06-30,32428|0|3|820,4105.0
2016-06-30,32428|0|3|84,4517.5
2016-06-30,32428|0|3|843,4242.67
2016-06-30,32428|0|3|853,0.0
2016-06-30,32428|0|3|854,3517.5
2016-06-30,32428|0|3|861,4478.46
2016-06-30,32428|0|3|888,8908.7
2016-06-30,32428|0|3|895,2770.22
2016-06-30,32428|0|3|896,3226.08
2016-06-30,32428|0|3|897,3250.0
2016-06-30,32428|0|3|909,2725.13
2016-06-30,32428|0|3|910,3471.56
2016-06-30,32428|0|3|957,3805.98
2016-06-30,32428|0|3|961,4367.5
2016-06-30,32428|0|3|964,6154.76
2016-06-30,32428|0|3|973,3804.82
2016-06-30,32428|9|1|1139,0.0
2016-06-30,32428|9|1|1207,0.0
2016-06-30,32428|9|1|425,0.0
2016-06-30,32428|9|1|434,0.0
2016-06-30,32428|9|1|435,0.0
2016-06-30,32428|9|1|519,0.0
2016-06-30,32428|9|1|733,0.0
